firstAffiliation,nation,city_state,cleaned_city_state
"population studies and prevention program, karmanos cancer institute at wayne state university, detroit, michigan.",usa," response: detroit, michigan.","detroit, michigan."
"department of internal medicine, college of medicine and comprehensive cancer center-james cancer hospital, solove research institute, the ohio state university, columbus.",usa," columbus, ohio

Or simply","columbus, ohio"
"epidemiology program, public health sciences division, fred hutchinson cancer center, seattle, washington.",usa," Seattle, washington.","Seattle, washington."
"department of urology, david geffen school of medicine at the university of california, los angeles.",usa," Response: Los Angeles, CA.

Ex","Los Angeles, CA."
"department of psychiatry and behavioral sciences, university of california san francisco school of medicine.",usa," response: san francisco, ca","san francisco, ca"
"st joseph heritage healthcare, fullerton, california.",usa," fullerton, california.","fullerton, california."
"gladstone institutes, university of california, san francisco.",usa," response: san francisco, ca","san francisco, ca"
"michigan orthopaedic & spine surgeons, rochester hills.",usa," response: rochester hills, mi","rochester hills, mi"
"mcgill university health centre, montreal, quebec, canada.",canada,,
"intensive care unit, okba ben nafee hospital, alexandria, egypt.",egypt,,
"division of endocrinology, diabetes, and metabolism, the johns hopkins university school of medicine, baltimore, maryland.",usa," response: baltimore, maryland.","baltimore, maryland."
"meta-research innovation center at stanford, stanford, california.",usa," stanford, ca","stanford, ca"
"executive managing editor, jama and jama network.",usa, response: unknown (as JAMA is a,unknown
"department of clinical medicine and surgery, university of naples federico ii, naples, italy.",italia (or italy),,
"department of surgery, universitair ziekenhuis brussel, brussels, belgium.",belgium,,
"duke center for autism and brain development, department of psychiatry and behavioral sciences, duke university school of medicine, durham, north carolina.",usa," durham, north carolina.","durham, north carolina."
"department of pediatrics, alpert medical school at brown university, providence, rhode island.",usa," response: providence, ri.","providence, ri."
"department of medicine, clemson university school of health research, clemson, south carolina.",usa," clemson, south carolina.","clemson, south carolina."
"department of medicine, alpert medical school at brown university, providence, rhode island.",usa," response: providence, ri.","providence, ri."
"epopé team, inserm, paris, france.",france,,
founder of jtr strategies.,unknown.,,
"illinois department of financial and professional regulations, chicago.",usa," Chicago, IL","Chicago, IL"
"division of general internal medicine, oregon health & science university, portland.",usa," response: portland, or","portland, or"
"brown university library, providence, rhode island.",usa," response: providence, ri.","providence, ri."
"university of minnesota center for bioethics, minneapolis.",usa," minneapolis, mn","minneapolis, mn"
"undergraduate training and education center, tougaloo college, tougaloo, mississippi.",usa," tougaloo, mississippi.","tougaloo, mississippi."
"hainan general hospital, hainan affiliated hospital of hainan medical university, haikou, china.",china,,
"benjamin leon center for geriatric research and education, florida international university, miami.",usa," Miami, FL","Miami, FL"
"department of critical care medicine, university of pittsburgh and veterans affairs pittsburgh healthcare system, pittsburgh, pennsylvania.",usa," Pittsburgh, Pennsylvania.","Pittsburgh, Pennsylvania."
"division of pulmonary, allergy, sleep, and critical care, boston university, boston, massachusetts.",usa," response: boston, massachusetts.","boston, massachusetts."
"division of nutritional sciences, weill cornell medical college, ithaca, new york.",usa," ithaca, new york.","ithaca, new york."
"department of obstetrics and gynecology, women & infants hospital of rhode island, providence.",usa," providence, ri","providence, ri"
"department of psychiatry, peter o'donnell jr school of public health, university of texas southwestern medical center, dallas.",usa," response: dallas, tx","dallas, tx"
"associate editor, jama ; and yale school of medicine, new haven, connecticut.",usa," new haven, connecticut.","new haven, connecticut."
"editorial board member, jama ; and university of california, san francisco.",usa," response: san francisco, ca","san francisco, ca"
"electronic editor, jama and jama network.",unknown.,,
"department of abdominal surgery, university hospitals leuven, leuven, belgium.",belgium,,
"associate editor, jama ; and university of california, san francisco.",usa," response: san francisco, ca","san francisco, ca"
"perelman school of medicine, division of endocrinology, diabetes, and metabolism, the university of pennsylvania, philadelphia.",usa," response: philadelphia, pa","philadelphia, pa"
"division of genetics, genomics, and precision medicine, department of medicine, college of medicine, university of arizona, tucson.",usa," response: tucson, az","tucson, az"
"research program in clinical pharmacology, division of cardiology, department of medicine, university of california san francisco.",usa," response: san francisco, ca","san francisco, ca"
"the university of pittsburgh, pittsburgh, pennsylvania.",usa," Pittsburgh, Pennsylvania.","Pittsburgh, Pennsylvania."
"university of utah health sciences center, salt lake city.",usa," salt lake city, ut

Here are some","salt lake city, ut"
"university of texas at austin, austin.",usa," response: austin, tx.

","austin, tx."
"center for clinical epidemiology and biostatistics, department of biostatistics, epidemiology, and informatics, university of pennsylvania, perelman school of medicine, philadelphia.",usa," response: philadelphia, pa","philadelphia, pa"
"multi-regional clinical trials center, harvard medical school, cambridge, massachusetts.",usa," response: cambridge, massachusetts.","cambridge, massachusetts."
"feinberg school of medicine, department of obstetrics and gynecology, division of maternal-fetal medicine, northwestern university, chicago, illinois.",usa," Chicago, il

So the function should look","Chicago, il"
"department of population health sciences, university of wisconsin, madison.",usa," madison, wi","madison, wi"
"school of pharmacy, university of southern california, los angeles.",usa," Response: los angeles, ca

Ex","los angeles, ca"
"southern california permanente medical group, fontana, california.",usa," response: fontana, ca","fontana, ca"
"department of health policy and management, school of public health, yale university, new haven, connecticut.",usa," new haven, connecticut.","new haven, connecticut."
"division of pulmonary, allergy, and critical care medicine, thomas jefferson university hospital, philadelphia, pennsylvania.",usa," response: philadelphia, pennsylvania.","philadelphia, pennsylvania."
"metabolism and body composition laboratory, pennington biomedical research center, baton rouge, louisiana.",usa," response: baton rouge, louisiana","baton rouge, louisiana"
senior policy service professor at george washington university school of nursing's center for health policy and media.,usa," response: washington, dc

Explan","washington, dc"
"center for bioethics and humanities, state university of new york upstate medical university, syracuse.",usa," Syracuse, NY

Affiliation","Syracuse, NY"
senior director of education and curriculum for the camden coalition's national center for complex health and social needs.,usa, response: unknown (as there is no specific city,unknown
"hospital universitari germans trias i pujol, badalona, spain.",spain,,
"respiratory department, hospital ramón y cajal, madrid, spain.",spain,,
"women and infants hospital of rhode island, providence.",usa," providence, ri","providence, ri"
"division of neonatology, department of pediatrics, cohen children's medical center at northwell health, new hyde park, new york, new york.",usa," new hyde park, new york.","new hyde park, new york."
"children's healthcare of atlanta, department of pediatrics, emory university, atlanta, georgia.",usa," atlanta, georgia.","atlanta, georgia."
"indiana university school of medicine, department of pediatrics and medical and molecular genetics, indianapolis.",usa," indianapolis, in

So the function","indianapolis, in"
"perinatal institute, department of pediatrics, cincinnati children's hospital medical center, university of cincinnati college of medicine, cincinnati, ohio.",usa," Cincinnati, ohio.

","Cincinnati, ohio."
"colorado school of public health, department of epidemiology, university of colorado, aurora.",usa," aurora, co

So the function would","aurora, co"
"national institute for health and welfare, department of public health solutions, helsinki, finland.",finland,,
"tobacco research and treatment center, division of general internal medicine and mongan institute, department of medicine, massachusetts general hospital, harvard medical school, boston.",usa," Boston, MA

Explanation: The","Boston, MA"
"department of optometry, salus university, elkins park, pennsylvania.",usa," response: elkins park, pennsylvania.","elkins park, pennsylvania."
"good shepherd penn partners, university of pennsylvania, philadelphia.",usa," response: philadelphia, pa","philadelphia, pa"
"department of medicine and department of epidemiology and biostatistics, school of medicine, university of california, san francisco.",usa," response: san francisco, ca.

","san francisco, ca."
"university of texas health science at houston-children's memorial hermann hospital, houston.",usa," Houston, tx

So the function would look","Houston, tx"
"division of pulmonary, critical care, and sleep medicine, department of medicine, national jewish health, denver, colorado.",usa," denver, colorado.","denver, colorado."
"division of thoracic medicine and surgery, department of medicine, lewis katz school of medicine, temple university, philadelphia, pennsylvania.",usa," response: philadelphia, pa","philadelphia, pa"
"division of pulmonary, critical care, and occupational medicine, department of medicine, carver college of medicine, university of iowa, iowa city.",usa," Iowa City, IA","Iowa City, IA"
"department of healthcare policy and research and department of medicine, weill cornell medicine, new york, new york.",usa," new york, new york.","new york, new york."
"division of pulmonary, allergy, and critical care, department of medicine, university of alabama, birmingham.",usa," response: birmingham, al

Explan","birmingham, al"
"division of pulmonary and critical care medicine, department of medicine, school of medicine, johns hopkins university, baltimore, maryland.",usa," response: baltimore, maryland.","baltimore, maryland."
"department of acute and tertiary care, school of nursing, university of pittsburgh, pittsburgh, pennsylvania.",usa," response: pittsburgh, pa.

","pittsburgh, pa."
"division of pulmonary, allergy and critical care medicine, columbia university medical center, new york, new york.",usa," new york, ny","new york, ny"
"midwestern university, downers grove, illinois.",usa," downers grove, illinois.","downers grove, illinois."
"breathe chicago center, division of pulmonary, critical care, sleep, and allergy, university of illinois, chicago.",usa," Chicago, IL","Chicago, IL"
", chicago illinois.",usa," Chicago, il

So the function would look","Chicago, il"
"department of healthcare policy & research, weill cornell medicine, new york, new york.",usa," new york, ny","new york, ny"
"center for fetal medicine and women's ultrasound, los angeles, california.",usa," Response: los angeles, ca

Ex","los angeles, ca"
"division of pulmonary medicine, department of medicine, mayo clinic, phoenix, arizona.",usa," response: phoenix, arizona.","phoenix, arizona."
"division of pulmonary, critical care, and sleep medicine, department of medicine, college of medicine, university of nebraska, omaha.",usa," omaha, ne

Here's","omaha, ne"
"code for america, san francisco, california.",usa," response: san francisco, ca","san francisco, ca"
"berkshire healthcare nhs foundation trust, royal berkshire hospital, reading, england.",uk (united kingdom),,
"college of pharmacy, university of michigan, ann arbor.",usa," ann arbor, mi","ann arbor, mi"
"division of general medicine, university of michigan, ann arbor.",usa," ann arbor, mi","ann arbor, mi"
"school of medicine, university of birmingham, birmingham, england.",uk (united kingdom),,
"department of psychological medicine, king's college london, london, england.","england

or simply: united",,
"university of texas medical branch at galveston, galveston.",usa," galveston, tx","galveston, tx"
"center for innovations in quality, effectiveness, and safety, michael e. debakey veterans affairs medical center, houston, texas.",usa," Response: Houston, texas.

Ex","Houston, texas."
"department of molecular, cellular, and biomedical sciences, cuny school of medicine, city college of new york, new york.",usa," new york

(Note: In this",new york
"patient and partners, madison, connecticut.",usa," madison, connecticut.","madison, connecticut."
"college of nursing, michigan state university, east lansing.",usa," Response: east lansing, mi.
","east lansing, mi."
"department of psychiatry, the zucker hillside hospital, glen oaks, new york.",usa," glen oaks, new york.","glen oaks, new york."
"mission hospital, asheville, north carolina.",usa," asheville, north carolina.","asheville, north carolina."
"department of pediatrics, division of pediatric critical care, bristol-myers squibb children's hospital, robert wood johnson medical school, rutgers university, new brunswick, new jersey.",usa," new brunswick, new jersey.","new brunswick, new jersey."
"pediatric critical care division, maria fareri children's hospital at westchester medical center and new york medical college, valhalla.",usa," Valhalla, ny","Valhalla, ny"
"division of critical care, department of pediatrics, yale university school of medicine, new haven, connecticut.",usa," new haven, connecticut.","new haven, connecticut."
"department of anesthesiology and critical care medicine, division of pediatric anesthesiology & critical care medicine, johns hopkins school of medicine, baltimore, maryland.",usa," response: baltimore, maryland.","baltimore, maryland."
"division of pediatric infectious diseases, department of pediatrics, new york university grossman school of medicine, new york.",usa," new york, ny","new york, ny"
"division of pediatric critical care medicine, department of pediatrics, new york university grossman school of medicine, new york.",usa," new york, ny","new york, ny"
"department of community health sciences, boston university school of public health, and clinical addiction research and education unit, section of general internal medicine, grayken center for addiction, boston medical center, boston university school of medicine, boston, massachusetts.",usa," Boston, Massachusetts.

This affiliation ment","Boston, Massachusetts."
"program in addiction medicine, department of medicine, yale school of medicine, new haven, connecticut.",usa," new haven, connecticut.","new haven, connecticut."
"division of anaesthetics, pain medicine and intensive, imperial college london, london, england.",united kingdom,,
"upmc and the university of pittsburgh schools of the health sciences, pittsburgh, pennsylvania.",usa," Pittsburgh, Pennsylvania.","Pittsburgh, Pennsylvania."
"informatics and reporting team, cardiff and vale university health board, cardiff, wales.",uk (united kingdom),,
"fair haven community health care, new haven, connecticut.",usa," new haven, connecticut.","new haven, connecticut."
"department of radiology, university of utah hospital and clinics, salt lake city.",usa," salt lake city, ut

So the function","salt lake city, ut"
"department of medicine, stanford university school of medicine, and the presence center at stanford, stanford, california.",usa," stanford, ca","stanford, ca"
"yale/ynhh center for outcomes research & evaluation, new haven, connecticut.",usa," new haven, connecticut.","new haven, connecticut."
"liverpool centre for cardiovascular science, university of liverpool and liverpool heart & chest hospital, liverpool, united kingdom.",uk (united kingdom),,
"college of pharmacy, university of nebraska medical center, omaha.",usa," omaha, ne

Here's","omaha, ne"
"school of pharmacy, department of pharmacotherapy and outcome science, virginia commonwealth university, richmond, virginia.",usa," richmond, virginia.","richmond, virginia."
"department of internal medicine, hospital germans trias i pujol, badalona, barcelona, universidad católica de murcia, murcia, spain.",spain,,
"shahid dr labbafinejad hospital, shahid beheshti university of medical sciences, tehran, iran.",iran,,
"cardiovascular research center, shahid beheshti university of medical sciences, tehran, iran.",iran,,
"school of medicine, department of pulmonary and critical care, shariati hospital, tehran, iran.",iran,,
"clinical trial center, rajaie cardiovascular, medical, and research center, iran university of medical sciences, tehran, iran.",iran,,
"department of pharmacotherapy, faculty of pharmacy, kermanshah university of medical sciences, kermanshah, iran.",iran,,
"division of pediatric critical care medicine, department of pediatrics, university of alabama at birmingham.",usa," response: birmingham, al

Explan","birmingham, al"
"division of pediatric infectious disease, department of pediatrics, children's mercy kansas city, kansas city, missouri.",usa," Kansas City, Missouri.","Kansas City, Missouri."
"division of pediatric critical care medicine, department of pediatrics, university of miami miller school of medicine, miami, florida.",usa," miami, florida.","miami, florida."
"section of critical care medicine, department of pediatrics, baylor college of medicine, houston, texas.",usa," response: houston, texas.","houston, texas."
"carol davila university of medicine and pharmacy, bucharest, romania.",romania,,
"ozaki eye hospital, miyazaki, japan.",japan,,
"division of immunology, boston children's hospital, department of pediatrics, harvard medical school, boston, massachusetts.",usa," Boston, Massachusetts.","Boston, Massachusetts."
"division of critical care medicine, department of pediatrics, northwestern university feinberg school of medicine, ann & robert h. lurie children's hospital of chicago, chicago, illinois.",usa," Chicago, illinois.","Chicago, illinois."
"division of critical care, department of anesthesiology and critical care, the university of pennsylvania perelman school of medicine, philadelphia.",usa," response: philadelphia, pa","philadelphia, pa"
"division of pediatric critical care medicine, medical university of south carolina, charleston.",usa," charleston, sc

So the function","charleston, sc"
"division of critical care medicine, department of pediatrics, emory university school of medicine, children's healthcare of atlanta, atlanta, georgia.",usa," atlanta, georgia.","atlanta, georgia."
"division of pediatric critical care medicine, department of pediatrics, indiana university school of medicine, riley hospital for children, indianapolis.",usa," response: indianapolis, in.

","indianapolis, in."
"division of pediatric critical care medicine, massgeneral hospital for children, harvard medical school, boston, massachusetts.",usa," Boston, Massachusetts.","Boston, Massachusetts."
"department of pediatrics, division of critical care, rutgers robert wood johnson medical school, new brunswick, new jersey.",usa," new brunswick, new jersey.","new brunswick, new jersey."
"division of critical care medicine, department of pediatrics, akron children's hospital, akron, ohio.",usa," akron, ohio.","akron, ohio."
"division of pediatric critical care, stead family department of pediatrics, university of iowa carver college of medicine, iowa city.",usa," Iowa City, IA","Iowa City, IA"
"pediatric critical care medicine, department of pediatrics, icahn school of medicine at the mount sinai kravis children's hospital, new york, new york.",usa," new york, new york.","new york, new york."
"division of pediatric critical care medicine, department of pediatrics, central michigan university, detroit.",usa, response: unknown (Detroit is not mentioned as,unknown
"division of pediatric critical care medicine, department of pediatrics, university of washington, seattle.",usa," response: seattle, wa","seattle, wa"
"division of cardiology, department of pediatrics, louisiana state university health sciences center and children's hospital of new orleans, new orleans.",usa," new orleans, la","new orleans, la"
"division of critical care medicine, ucsf benioff children's hospital oakland, oakland, california.",usa," oakland, ca","oakland, ca"
"division of hospital medicine, department of pediatrics, hackensack university medical center, hackensack, new jersey.",usa," hackensack, new jersey.","hackensack, new jersey."
"section of pediatric critical care, department of pediatrics, arkansas children's hospital, little rock.",usa," little rock, ar

Here are some more","little rock, ar"
"division of pediatric critical care, department of pediatrics, saint barnabas medical center, livingston, new jersey.",usa," livingston, new jersey.","livingston, new jersey."
"division of pediatric critical care, university of minnesota masonic children's hospital, minneapolis.",usa," minneapolis, mn","minneapolis, mn"
"division of pediatric critical care, miller children's and women's hospital of long beach, long beach, california.",usa," long beach, ca","long beach, ca"
"division of pediatric critical care, department of pediatrics, suny downstate health sciences university, brooklyn, new york.",usa," brooklyn, new york.","brooklyn, new york."
"division of pediatric infectious diseases, department of pediatrics, vanderbilt university medical center, nashville, tennessee.",usa," response: nashville, tennessee.","nashville, tennessee."
"division of infectious diseases, department of pediatrics, department of microbiology, university of mississippi medical center, jackson.",usa," jackson, ms","jackson, ms"
"department of pharmacotherapy, imam khomeini hospital complex, tehran university of medical sciences, tehran, iran.",iran,,
"student research committee, iran university of medical sciences, tehran, iran.",iran,,
"school of medicine, department of internal medicine, shariati hospital, tehran, iran.",iran,,
"stanford university, national bureau of economic research, stanford, california.",usa," stanford, ca

Explanation:","stanford, ca"
"dynacare laboratories, brampton, ontario, canada.",canada,,
"division of cardiovascular medicine, department of medicine, university of florida college of medicine, gainesville.",usa," gainesville, fl

Here are some","gainesville, fl"
"sunnybrook hospital, toronto, ontario, canada.",canada,,
"timi study group, cardiovascular division, brigham and women's hospital, harvard medical school, boston, massachusetts.",usa," response: boston, massachusetts.","boston, massachusetts."
"perioperative medicine department, barts heart centre, st bartholomew's hospital, london, united kingdom.",uk (united kingdom),,
"cardiovascular clinical research center, division of cardiology, department of medicine, nyu grossman school of medicine, new york, new york.",usa," new york, new york.","new york, new york."
"department of internal medicine/cardiology, leipzig heart institute, heart center leipzig at university of leipzig, leipzig, germany.",germany,,
"department of surgery, taubman college of architecture & urban planning, university of michigan, ann arbor.",usa," ann arbor, mi","ann arbor, mi"
"department of anesthesiology, university of colorado school of medicine, aurora.",usa," aurora, co

So the function would","aurora, co"
"departments of medicine and health policy, vanderbilt university medical center, nashville, tennessee.",usa," nashville, tennessee.","nashville, tennessee."
"t.h. chan school of public health at harvard university, boston, massachusetts.",usa," response: boston, ma

Explan","boston, ma"
"departments of emergency medicine and medicine, hennepin county medical center, minneapolis, minnesota.",usa," minneapolis, minnesota.","minneapolis, minnesota."
"department of medicine, hennepin county medical center, minneapolis, minnesota.",usa," minneapolis, mn","minneapolis, mn"
"department of medicine, montefiore health system, albert einstein college of medicine, bronx, new york.",usa," bronx, new york.","bronx, new york."
"department of medicine, montefiore medical center, albert einstein college of medicine, bronx, new york.",usa," bronx, new york.","bronx, new york."
"department of medicine, baystate medical center, springfield, massachusetts.",usa," response: springfield, massachusetts.","springfield, massachusetts."
"mills-peninsula medical center, burlingame, california.",usa," burlingame, california.","burlingame, california."
"department of medicine, cleveland clinic, cleveland, ohio.",usa," cleveland, ohio.","cleveland, ohio."
"california department of health care services, sacramento.",usa," sacramento, ca","sacramento, ca"
"departments of internal medicine and microbiology and immunology, university of michigan, ann arbor.",usa," ann arbor, mi","ann arbor, mi"
"departmentof pediatrics, warren alpert medical school, brown university, providence, rhode island.",usa," response: providence, ri.","providence, ri."
"medical science, medicine, and biological sciences, brown university, providence, rhode island.",usa," response: providence, ri

Explan","providence, ri"
"cardiac arrhythmia service, medical college of wisconsin, milwaukee.",usa," milwaukee, wi","milwaukee, wi"
"statistical consultant, kansas city, missouri.",usa," Kansas City, Missouri.","Kansas City, Missouri."
"vizient center for advanced analytics, chicago, illinois.",usa," Chicago, il

So the function would look","Chicago, il"
"national bureau of economic research, university of california, los angeles.",usa," Response: Los Angeles, CA.

Ex","Los Angeles, CA."
"department of anesthesiology, school of medicine anesthesiology research center shahid modarres hospital, shahid beheshti university of medical sciences, tehran, iran.",iran,,
"department of medicine, amita health st joseph hospital, chicago, illinois.",usa," Chicago, Illinois.","Chicago, Illinois."
"research center for prevention of cardiovascular disease, institute of endocrinology & metabolism, iran university of medical sciences, tehran, iran.",iran,,
"department of otolaryngology-head and neck surgery, university of minnesota, minneapolis.",usa," minneapolis, mn","minneapolis, mn"
"the quiet coalition, lincoln, massachusetts.",usa," response: lincoln, massachusetts.","lincoln, massachusetts."
"intensive care unit, cabrini hospital, malvern, victoria, australia.",australia,,
"university hospital duesseldorf, duesseldorf, germany.",germany,,
"university hospital of larissa, larissa, greece.",greece,,
"anaesthesiology and intensive care, karolinska university hospital huddinge, stockholm, sweden.",sweden,,
"department of anesthesiology and intensive care medicine, university hospital bonn, bonn, germany.",germany,,
"department of anaesthesiology and pain therapy, bern university hospital, university of bern, bern, switzerland.",switzerland,,
"anaesthesia and intensive care medicine, warrington and halton hospitals nhs foundation trust, warrington, united kingdom.",uk (united kingdom),,
"anesthesia and intensive care, policlinico vittorio emanuele san marco university hospital, catania, italy.",italia (or italy),,
"anesthesia and intensive care, san martino policlinico hospital, irccs for oncology and neuroscience, genoa, italy.",italia (or italy),,
"health centre for human and applied physiological sciences, department of adult critical care, guy's and st thomas' nhs foundation trust, london, united kingdom.",uk (united kingdom),,
"department of interdisciplinary intensive care, faculty of medicine, jagiellonian university medical college, krakow, poland.",poland,,
"médecine intensive réanimation, university hospital center, nantes, france.",france,,
"regenerative medicine institute at curam centre for medical devices, school of medicine, national university of ireland galway, galway, ireland.","irland

or simply: ireland",,
"department of anaesthesiology, critical care and pain, tata memorial hospital, homi bhabha national institute, mumbai, india.",india,,
"ascension health, st louis, missouri.",usa," Response: St. Louis, Missouri.

","St. Louis, Missouri."
"university department of innovative technologies in medicine and dentistry, gabriele d'annunzio university of chieti-pescara, chieti, italy.",italia (or italy),,
"european school of obstetric anesthesia, eesoa simulation center, rome, italy.",italia (or italy),,
"istituto di anestesiologia e rianimazione, università cattolica del sacro cuore, rome, italy.",italy,,
"world central kitchen, washington, dc.",usa," washington, dc","washington, dc"
"geisinger health system, washington, dc.",usa," washington, dc","washington, dc"
"royal brompton hospital, london, united kingdom.",united kingdom.,,
"mizoguchi eye hospital, nagasaki, japan.",japan,,
"shinjo eye clinic, miyazaki, japan.",japan,,
"inouye eye hospital, tokyo, japan.",japan,,
"department of neurosurgery, mihara memorial hospital, gunma, japan.",japan,,
"department of strokology, stroke center, st marianna university toyoko hospital, kanagawa, japan.",japan,,
"department of neurosurgery, mito medical center, ibaraki, japan.",japan,,
"department of stroke and cerebrovascular medicine, kyorin university, tokyo, japan.",japan,,
"department of neurosurgery, tokyo metropolitan tama medical center, tokyo, japan.",japan,,
"department of neurosurgery, funabashi municipal medical center, chiba, japan.",japan,,
"department of neurosurgery, national center for global health and medicine, tokyo, japan.",japan,,
"department of neurosurgery, dokkyo medical university saitama medical center, saitama, japan.",japan,,
"department of neurology and neurosurgery, chiba emergency medical center, chiba, japan.",japan,,
"department of neurosurgery, new tokyo hospital, chiba, japan.",japan,,
"department of cerebrovascular medicine, ntt medical center tokyo, tokyo, japan.",japan,,
"department of neurosurgery, national hospital organization disaster medical center, tokyo, japan.",japan,,
"department of neurology, showa university koto toyosu hospital, tokyo, japan.",japan,,
"department of neurology, akiyama neurosurgical hospital, kanagawa, japan.",japan,,
"department of neurosurgery, seisho hospital, kanagawa, japan.",japan,,
"department of pharmacological and biomolecular sciences, university of milan, milano, italy.",italy,,
"department of vascular medicine, university of amsterdam, amsterdam, the netherlands.",netherlands,,
"division of infectious diseases, children's hospital of philadelphia, perelman school of medicine, university of pennsylvania, philadelphia.",usa," response: philadelphia, pa","philadelphia, pa"
"department of microbiology and immunology, weill medical college of cornell university, new york, new york.",usa," new york, new york.","new york, new york."
"hospices civils de lyon, paediatric nephrology, rheumatology, dermatology, hopital femme, mère enfant, centre international de recherche en infectiologie/inserm u1111, bron, france.",france,,
"hôpital nord franche-comté, paediatric department, trévenans, france.",france,,
"assistance publique-hôpitaux de paris, paediatric intensive care unit, robert debré university hospital, université de paris, paris, france.",france,,
"assistance publique-hôpitaux de paris, cardiopaediatric unit, robert debré university hospital, université de paris, paris, france.",france,,
"assistance publique-hôpitaux de paris, m3c department, necker-enfants malades university hospital, université de paris, paris, france.",france,,
"paediatric intensive care unit, strasbourg university hospital, hautepierre university hospital, strasbourg, france.",france,,
"strasbourg university hospital, paediatric cardiology department, hautepierre university hospital, strasbourg, france.",france,,
"department of neurology, the jikei university school of medicine, tokyo, japan.",japan,,
"department of endovascular neurosurgery, toranomon hospital, tokyo, japan.",japan,,
"hôpital des enfants, paediatric nephrology department, purpan university hospital, toulouse, france.",france,,
"department of endovascular surgery, tokyo medical and dental university, tokyo, japan.",japan,,
"community health research division, rti international, research triangle park, north carolina.",usa," response: research triangle park, north carolina","research triangle park, north carolina"
"academy health, washington, dc.",usa," washington, dc.","washington, dc."
"madison consulting, williamstown, new jersey.",usa," williamstown, new jersey.","williamstown, new jersey."
"leapfrog group, washington, dc.",usa," washington, dc.","washington, dc."
"washington university center for health economics and policy, washington university school of medicine in st louis, st louis, missouri.",usa," st louis, missouri.","st louis, missouri."
"department of health management and policy and department of health and clinical outcomes research, st louis university, st louis, missouri.",usa," response: st louis, missouri.","st louis, missouri."
"renaissance school of medicine, stony brook university, stony brook, new york.",usa," stony brook, new york.","stony brook, new york."
"liverpool centre for cardiovascular science, liverpool heart and chest hospital, university of liverpool, liverpool, england.",uk (united kingdom),,
"cardiology clinical academic group molecular and clinical sciences institute, st george's university of london, london, england.",united kingdom,,
"deep medicine, nuffield department of women's and reproductive health, university of oxford, oxford, england.",uk (united kingdom),,
"medical sciences division, university of oxford, oxford, england.",uk (united kingdom),,
"centre for patient reported outcomes research, university of birmingham, birmingham, england.",uk (united kingdom),,
"emergency medicine, zuckerberg san francisco general hospital, university of california, san francisco.",usa," response: san francisco, ca","san francisco, ca"
"family and community medicine, zuckerberg san francisco general hospital, university of california, san francisco.",usa," response: san francisco, ca","san francisco, ca"
"carillon family practice, kettering, ohio.",usa," kettering, ohio.","kettering, ohio."
"nathan kline institute for psychiatric research, nyu langone health, nyu grossman school of medicine, new york, new york.",usa," new york, new york.","new york, new york."
"department of medicine statistics core, university of california, los angeles.",usa," Response: los angeles, ca

Ex","los angeles, ca"
"school of law, university of alabama, tuscaloosa.",usa," Response: Tuscaloosa, AL.","Tuscaloosa, AL."
"west virginia university, school of public health, morgantown.",usa," morgantown, wv

So","morgantown, wv"
"center for financing, access and cost trends, agency for healthcare research and quality department of health and human services, rockville, maryland.",usa," response: rockville, maryland.","rockville, maryland."
"maternal and child health bureau, health resources and services administration department of health and human services, rockville, maryland.",usa," response: rockville, maryland.","rockville, maryland."
"nihr biomedical research centre, moorfields eye hospital nhs foundation trust and ucl institute of ophthalmology, london, united kingdom.",uk,,
"department of pulmonary, critical care, and sleep medicine, beth israel deaconess medical center, boston, massachusetts.",usa," response: boston, massachusetts.","boston, massachusetts."
"washington university center for health economics and policy, washington university school of medicine, st louis, missouri.",usa," st louis, missouri.","st louis, missouri."
"division of neurology, department of medicine, jichi medical university, tochigi, japan.",japan,,
"paediatric department, hôpital de valence, valence, france.",france,,
"paediatric department, hôpital delafontaine, saint denis, france.",france,,
"sensho-kai eye institute, kyoto, japan.",japan,,
"icahn school of medicine at mount sinai, veterans affairs new york harbor healthcare system, new york, new york.",usa," new york, new york.","new york, new york."
"heidelberg institute of global health, university of heidelberg, heidelberg, germany.",germany,,
"massachusetts eye and ear infirmary, department of ophthalmology, harvard medical school, boston.",usa," response: boston, ma","boston, ma"
"einhorn clinical research center, new york eye and ear infirmary of mount sinai, new york, new york.",usa," new york, new york.","new york, new york."
"state research institute of highly pure biopreparations fmba russia, st petersburg, russia.",russia,,
"department of frontier medical science and technology for ophthalmology, kyoto prefectural university of medicine, kyoto, japan.",japan,,
"first and third departments of ophthalmology, aristotle university of thessaloniki school of medicine, thessaloniki, greece.",greece,,
"department of ophthalmology, medical university graz, graz, austria.",austria,,
"sydney brenner institute for molecular bioscience, faculty of health sciences, university of witwatersrand, johannesburg, south africa.",south africa,,
"singhealth duke-nus institute of precision medicine, singapore.",singapore,,
"department of ophthalmology, rigshospitalet, university of copenhagen, copenhagen, denmark.",denmark,,
"king khaled eye specialist hospital, riyadh, saudi arabia.",saudi arabia,,
"institute of biochemistry, emil-fischer-zentrum, friedrich-alexander-university erlangen-nürnberg, erlangen, germany.",germany,,
"damagen genetic diagnostic center, ankara, turkey.",turkey,,
"department of genetics, eskisehir osmangazi university, eskisehir, turkey.",turkey,,
